Date,stock_key,multivariate_past_history,rnn_start,BATCH_SIZE,EPOCHS,EVALUATION_INTERVAL,PATIENCE,BUFFER_SIZE,VAL_STEPS,DROP_OUT,train_split,multivariate_future_target,STEP
2/9/2022,0001.HK,1,730,6,1000,50,250,100,50,0,0.8,0,1
2/9/2022,0001.HK,1,730,7,1000,40,250,100,50,0,0.8,0,1
2/9/2022,0005.HK,1,365,1,600,50,150,100,50,0,0.8,0,1
2/9/2022,0005.HK,1,365,50,1000,40,150,100,50,0,0.8,0,1
2/9/2022,0005.HK,1,365,50,1000,50,200,100,50,0,0.8,0,1
2/9/2022,0005.HK,1,365,64,400,50,100,100,50,0,0.8,0,1
2/9/2022,0005.HK,1,365,64,400,50,100,100,50,0,0.8,0,1
2/9/2022,0005.HK,1,365,64,400,50,150,100,50,0,0.8,0,1
2/9/2022,0005.HK,1,365,64,400,50,150,100,50,0,0.8,0,1
2/9/2022,0005.HK,1,365,100,1000,40,150,100,50,0,0.8,0,1
2/9/2022,0005.HK,1,365,100,1000,50,200,100,50,0,0.8,0,1
2/9/2022,0005.HK,1,365,128,600,50,150,100,50,0,0.8,0,1
2/9/2022,0005.HK,1,365,128,600,50,150,100,50,0,0.8,0,1
2/9/2022,0005.HK,1,730,7,1000,40,250,100,50,0,0.8,0,1
2/9/2022,0005.HK,1,730,50,1000,40,150,100,50,0,0.8,0,1
2/9/2022,0005.HK,1,730,100,1000,40,150,100,50,0,0.8,0,1
2/9/2022,0005.HK,1,1095,50,1000,40,150,100,50,0,0.8,0,1
2/9/2022,0005.HK,1,1095,100,1000,40,150,100,50,0,0.8,0,1
2/9/2022,0144.HK,1,365,1,600,50,150,100,50,0,0.8,0,1
2/9/2022,0144.HK,1,365,12,600,50,150,100,50,0,0.8,0,1
2/9/2022,0144.HK,1,365,50,1000,40,150,100,50,0,0.8,0,1
2/9/2022,0144.HK,1,365,50,1000,40,150,100,50,0,0.8,0,1
2/9/2022,0144.HK,1,365,50,1000,40,150,100,50,0,0.8,0,1
2/9/2022,0144.HK,1,365,50,1000,50,200,100,50,0,0.8,0,1
2/9/2022,0144.HK,1,365,64,600,50,150,100,50,0,0.8,0,1
2/9/2022,0144.HK,1,365,64,600,50,150,100,50,0,0.8,0,1
2/9/2022,0144.HK,1,365,512,1000,50,200,100,50,0,0.8,0,1
2/9/2022,0144.HK,1,730,1,1000,40,150,100,50,0,0.8,0,1
2/9/2022,0144.HK,1,730,6,1000,50,250,100,50,0,0.8,0,1
2/9/2022,0144.HK,1,730,7,1000,40,250,100,50,0,0.8,0,1
2/9/2022,0144.HK,1,730,50,1000,40,150,100,50,0,0.8,0,1
2/9/2022,0144.HK,1,1095,50,1000,40,150,100,50,0,0.8,0,1
2/9/2022,2888.HK,1,365,1,600,50,150,100,50,0,0.8,0,1
2/9/2022,2888.HK,1,365,6,600,50,150,100,50,0,0.8,0,1
2/9/2022,2888.HK,1,365,6,600,50,150,100,50,0,0.8,0,1
2/9/2022,2888.HK,1,365,12,600,50,150,100,50,0,0.8,0,1
2/9/2022,2888.HK,1,365,12,600,50,150,100,50,0,0.8,0,1
2/9/2022,2888.HK,1,365,12,600,50,150,100,50,0,0.8,0,1
2/9/2022,2888.HK,1,365,50,1000,40,150,100,50,0,0.8,0,1
2/9/2022,2888.HK,1,365,50,1000,40,150,100,50,0,0.8,0,1
2/9/2022,2888.HK,1,365,50,1000,40,150,100,50,0,0.8,0,1
2/9/2022,2888.HK,1,365,50,1000,50,200,100,50,0,0.8,0,1
2/9/2022,2888.HK,1,365,64,600,50,150,100,50,0,0.8,0,1
2/9/2022,2888.HK,1,365,64,600,50,150,100,50,0,0.8,0,1
2/9/2022,2888.HK,1,365,512,1000,50,200,100,50,0,0.8,0,1
2/9/2022,2888.HK,1,730,1,1000,40,150,100,50,0,0.8,0,1
2/9/2022,2888.HK,1,730,6,1000,50,250,100,50,0,0.8,0,1
2/9/2022,2888.HK,1,730,7,1000,40,250,100,50,0,0.8,0,1
2/9/2022,2888.HK,1,730,50,1000,40,150,100,50,0,0.8,0,1
2/9/2022,2888.HK,1,1095,50,1000,40,150,100,50,0,0.8,0,1
5/9/2022,0001.HK,1,365,512,600,50,200,100,50,0,0.8,0,1
5/9/2022,0001.HK,1,730,256,1200,50,250,100,50,0,0.8,0,1
5/9/2022,0005.HK,1,365,100,1200,40,250,100,50,0,0.8,0,1
5/9/2022,0005.HK,1,365,128,600,50,150,100,50,0,0.8,0,1
5/9/2022,0005.HK,1,730,7,1000,50,250,100,50,0,0.8,0,1
5/9/2022,0144.HK,1,365,12,800,50,150,100,50,0,0.8,0,1
5/9/2022,0144.HK,1,365,512,1000,50,200,100,50,0,0.8,0,1
5/9/2022,0144.HK,1,730,6,1000,50,150,100,50,0,0.8,0,1
5/9/2022,0144.HK,1,730,7,800,40,250,100,50,0,0.8,0,1
5/9/2022,2888.HK,1,365,50,800,50,200,100,50,0,0.8,0,1
5/9/2022,2888.HK,1,365,100,400,40,150,100,50,0,0.8,0,1
5/9/2022,2888.HK,1,730,6,1200,50,250,100,50,0,0.8,0,1
5/9/2022,2888.HK,1,730,7,1200,40,250,100,50,0,0.8,0,1
8/9/2022,0001.HK,1,365,512,600,50,200,100,50,0,0.8,0,1
8/9/2022,0001.HK,1,730,256,1200,50,250,100,50,0,0.8,0,1
8/9/2022,0005.HK,1,365,128,600,50,150,100,50,0,0.8,0,1
8/9/2022,0005.HK,1,730,7,1000,50,250,100,50,0,0.8,0,1
8/9/2022,0144.HK,1,365,512,1000,50,200,100,50,0,0.8,0,1
8/9/2022,0144.HK,1,730,6,1000,50,150,100,50,0,0.8,0,1
8/9/2022,2888.HK,1,365,100,400,40,150,100,50,0,0.8,0,1
8/9/2022,2888.HK,1,730,7,1200,40,250,100,50,0,0.8,0,1
1/9/2022,0001.HK,1,365,128,400,50,150,100,50,0.1,0.8,0,1
1/9/2022,0001.HK,1,365,512,600,40,150,100,50,0,0.8,0,1
1/9/2022,0001.HK,1,365,512,600,50,200,100,50,0.2,0.8,0,1
1/9/2022,0001.HK,1,730,256,600,50,250,100,50,0.1,0.8,0,1
1/9/2022,0005.HK,1,365,1,600,50,150,100,50,0.2,0.8,0,1
1/9/2022,0005.HK,1,365,128,600,50,150,100,50,0.1,0.8,0,1
1/9/2022,0005.HK,1,730,7,1000,40,250,100,50,0.2,0.8,0,1
1/9/2022,0005.HK,1,730,7,1000,50,250,100,50,0.2,0.8,0,1
1/9/2022,0144.HK,1,365,12,800,50,150,100,50,0.2,0.8,0,1
1/9/2022,0144.HK,1,365,50,800,50,200,100,50,0.1,0.8,0,1
1/9/2022,0144.HK,1,365,512,1000,50,200,100,50,0.2,0.8,0,1
1/9/2022,0144.HK,1,730,6,600,50,250,100,50,0.2,0.8,0,1
1/9/2022,0144.HK,1,730,6,1000,50,150,100,50,0.2,0.8,0,1
1/9/2022,0144.HK,1,730,7,1200,40,250,100,50,0.2,0.8,0,1
9/9/2022,2888.HK,1,365,12,600,50,150,100,50,0.2,0.8,0,1
9/9/2022,2888.HK,1,365,50,800,50,200,100,50,0.1,0.8,0,1
9/9/2022,2888.HK,1,365,100,400,40,150,100,50,0,0.8,0,1
9/9/2022,2888.HK,1,730,6,1000,50,250,100,50,0.2,0.8,0,1
9/9/2022,2888.HK,1,730,7,1200,40,250,100,50,0,0.8,0,1
